ts	device	etype	ch	idx	value	topic	label	group
7.933	vcm600	cc	2	24	0.48	vcm600/channel/2/level	Channel 2 Level	channel_controls
7.967	vcm600	cc	1	24	0.591	vcm600/channel/1/level	Channel 1 Level	channel_controls
7.967	vcm600	cc	2	24	0.512	vcm600/channel/2/level	Channel 2 Level	channel_controls
8.000	vcm600	cc	1	24	0.598	vcm600/channel/1/level	Channel 1 Level	channel_controls
8.000	vcm600	cc	2	24	0.52	vcm600/channel/2/level	Channel 2 Level	channel_controls
8.033	vcm600	cc	1	24	0.583	vcm600/channel/1/level	Channel 1 Level	channel_controls
8.033	vcm600	cc	2	24	0.504	vcm600/channel/2/level	Channel 2 Level	channel_controls
8.067	vcm600	cc	1	24	0.551	vcm600/channel/1/level	Channel 1 Level	channel_controls
8.083	vcm600	cc	2	24	0.457	vcm600/channel/2/level	Channel 2 Level	channel_controls
8.117	vcm600	cc	1	24	0.488	vcm600/channel/1/level	Channel 1 Level	channel_controls
8.117	vcm600	cc	2	24	0.409	vcm600/channel/2/level	Channel 2 Level	channel_controls
8.150	vcm600	cc	1	24	0.449	vcm600/channel/1/level	Channel 1 Level	channel_controls
8.150	vcm600	cc	2	24	0.37	vcm600/channel/2/level	Channel 2 Level	channel_controls
8.183	vcm600	cc	1	24	0.433	vcm600/channel/1/level	Channel 1 Level	channel_controls
8.183	vcm600	cc	2	24	0.354	vcm600/channel/2/level	Channel 2 Level	channel_controls
8.283	vcm600	cc	1	24	0.449	vcm600/channel/1/level	Channel 1 Level	channel_controls
8.300	vcm600	cc	2	24	0.378	vcm600/channel/2/level	Channel 2 Level	channel_controls
8.317	vcm600	cc	1	24	0.488	vcm600/channel/1/level	Channel 1 Level	channel_controls
8.333	vcm600	cc	2	24	0.409	vcm600/channel/2/level	Channel 2 Level	channel_controls
8.367	vcm600	cc	1	24	0.528	vcm600/channel/1/level	Channel 1 Level	channel_controls
8.367	vcm600	cc	2	24	0.449	vcm600/channel/2/level	Channel 2 Level	channel_controls
8.400	vcm600	cc	1	24	0.551	vcm600/channel/1/level	Channel 1 Level	channel_controls
8.400	vcm600	cc	2	24	0.465	vcm600/channel/2/level	Channel 2 Level	channel_controls
8.433	vcm600	cc	1	24	0.559	vcm600/channel/1/level	Channel 1 Level	channel_controls
8.433	vcm600	cc	2	24	0.48	vcm600/channel/2/level	Channel 2 Level	channel_controls
8.467	vcm600	cc	1	24	0.567	vcm600/channel/1/level	Channel 1 Level	channel_controls
8.550	vcm600	cc	2	24	0.465	vcm600/channel/2/level	Channel 2 Level	channel_controls
8.583	vcm600	cc	2	24	0.441	vcm600/channel/2/level	Channel 2 Level	channel_controls
8.617	vcm600	cc	1	24	0.559	vcm600/channel/1/level	Channel 1 Level	channel_controls
8.617	vcm600	cc	2	24	0.425	vcm600/channel/2/level	Channel 2 Level	channel_controls
8.650	vcm600	cc	1	24	0.535	vcm600/channel/1/level	Channel 1 Level	channel_controls
8.650	vcm600	cc	2	24	0.402	vcm600/channel/2/level	Channel 2 Level	channel_controls
8.683	vcm600	cc	1	24	0.496	vcm600/channel/1/level	Channel 1 Level	channel_controls
8.683	vcm600	cc	2	24	0.37	vcm600/channel/2/level	Channel 2 Level	channel_controls
8.717	vcm600	cc	1	24	0.465	vcm600/channel/1/level	Channel 1 Level	channel_controls
8.717	vcm600	cc	2	24	0.331	vcm600/channel/2/level	Channel 2 Level	channel_controls
8.767	vcm600	cc	1	24	0.425	vcm600/channel/1/level	Channel 1 Level	channel_controls
8.767	vcm600	cc	2	24	0.307	vcm600/channel/2/level	Channel 2 Level	channel_controls
8.800	vcm600	cc	1	24	0.394	vcm600/channel/1/level	Channel 1 Level	channel_controls
8.800	vcm600	cc	2	24	0.276	vcm600/channel/2/level	Channel 2 Level	channel_controls
8.833	vcm600	cc	1	24	0.354	vcm600/channel/1/level	Channel 1 Level	channel_controls
8.833	vcm600	cc	2	24	0.252	vcm600/channel/2/level	Channel 2 Level	channel_controls
8.867	vcm600	cc	1	24	0.315	vcm600/channel/1/level	Channel 1 Level	channel_controls
8.867	vcm600	cc	2	24	0.22	vcm600/channel/2/level	Channel 2 Level	channel_controls
8.900	vcm600	cc	1	24	0.26	vcm600/channel/1/level	Channel 1 Level	channel_controls
8.900	vcm600	cc	2	24	0.197	vcm600/channel/2/level	Channel 2 Level	channel_controls
8.933	vcm600	cc	1	24	0.213	vcm600/channel/1/level	Channel 1 Level	channel_controls
8.933	vcm600	cc	2	24	0.157	vcm600/channel/2/level	Channel 2 Level	channel_controls
8.983	vcm600	cc	1	24	0.173	vcm600/channel/1/level	Channel 1 Level	channel_controls
8.983	vcm600	cc	2	24	0.11	vcm600/channel/2/level	Channel 2 Level	channel_controls
9.017	vcm600	cc	1	24	0.126	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.017	vcm600	cc	2	24	0.071	vcm600/channel/2/level	Channel 2 Level	channel_controls
9.050	vcm600	cc	1	24	0.094	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.050	vcm600	cc	2	24	0.039	vcm600/channel/2/level	Channel 2 Level	channel_controls
9.083	vcm600	cc	1	24	0.055	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.083	vcm600	cc	2	24	0.0	vcm600/channel/2/level	Channel 2 Level	channel_controls
9.117	vcm600	cc	1	24	0.016	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.117	vcm600	cc	2	24	0.0	vcm600/channel/2/level	Channel 2 Level	channel_controls
9.150	vcm600	cc	1	24	0.0	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.517	vcm600	cc	1	24	0.008	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.550	vcm600	cc	1	24	0.047	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.550	vcm600	cc	2	24	0.024	vcm600/channel/2/level	Channel 2 Level	channel_controls
9.583	vcm600	cc	1	24	0.094	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.600	vcm600	cc	2	24	0.063	vcm600/channel/2/level	Channel 2 Level	channel_controls
9.633	vcm600	cc	1	24	0.126	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.633	vcm600	cc	2	24	0.102	vcm600/channel/2/level	Channel 2 Level	channel_controls
9.667	vcm600	cc	1	24	0.165	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.667	vcm600	cc	2	24	0.142	vcm600/channel/2/level	Channel 2 Level	channel_controls
9.700	vcm600	cc	1	24	0.205	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.700	vcm600	cc	2	24	0.189	vcm600/channel/2/level	Channel 2 Level	channel_controls
9.733	vcm600	cc	1	24	0.252	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.733	vcm600	cc	2	24	0.228	vcm600/channel/2/level	Channel 2 Level	channel_controls
9.767	vcm600	cc	1	24	0.299	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.767	vcm600	cc	2	24	0.276	vcm600/channel/2/level	Channel 2 Level	channel_controls
9.800	vcm600	cc	1	24	0.331	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.817	vcm600	cc	2	24	0.315	vcm600/channel/2/level	Channel 2 Level	channel_controls
9.833	vcm600	cc	1	24	0.378	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.850	vcm600	cc	2	24	0.362	vcm600/channel/2/level	Channel 2 Level	channel_controls
9.883	vcm600	cc	1	24	0.409	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.883	vcm600	cc	2	24	0.402	vcm600/channel/2/level	Channel 2 Level	channel_controls
9.917	vcm600	cc	1	24	0.449	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.917	vcm600	cc	2	24	0.441	vcm600/channel/2/level	Channel 2 Level	channel_controls
9.950	vcm600	cc	1	24	0.488	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.950	vcm600	cc	2	24	0.488	vcm600/channel/2/level	Channel 2 Level	channel_controls
9.983	vcm600	cc	1	24	0.535	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.983	vcm600	cc	2	24	0.535	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.017	vcm600	cc	1	24	0.559	vcm600/channel/1/level	Channel 1 Level	channel_controls
0.033	vcm600	cc	2	24	0.567	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.067	vcm600	cc	1	24	0.606	vcm600/channel/1/level	Channel 1 Level	channel_controls
0.067	vcm600	cc	2	24	0.606	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.100	vcm600	cc	1	24	0.646	vcm600/channel/1/level	Channel 1 Level	channel_controls
0.100	vcm600	cc	2	24	0.646	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.133	vcm600	cc	1	24	0.693	vcm600/channel/1/level	Channel 1 Level	channel_controls
0.133	vcm600	cc	2	24	0.685	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.167	vcm600	cc	1	24	0.748	vcm600/channel/1/level	Channel 1 Level	channel_controls
0.167	vcm600	cc	2	24	0.724	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.200	vcm600	cc	1	24	0.819	vcm600/channel/1/level	Channel 1 Level	channel_controls
0.200	vcm600	cc	2	24	0.756	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.233	vcm600	cc	1	24	0.898	vcm600/channel/1/level	Channel 1 Level	channel_controls
0.250	vcm600	cc	2	24	0.78	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.267	vcm600	cc	1	24	0.969	vcm600/channel/1/level	Channel 1 Level	channel_controls
0.283	vcm600	cc	2	24	0.787	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.317	vcm600	cc	1	24	1.0	vcm600/channel/1/level	Channel 1 Level	channel_controls
0.383	vcm600	cc	2	24	0.78	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.417	vcm600	cc	2	24	0.772	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.450	vcm600	cc	2	24	0.764	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.483	vcm600	cc	1	24	0.976	vcm600/channel/1/level	Channel 1 Level	channel_controls
0.500	vcm600	cc	2	24	0.748	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.533	vcm600	cc	1	24	0.913	vcm600/channel/1/level	Channel 1 Level	channel_controls
0.533	vcm600	cc	2	24	0.724	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.567	vcm600	cc	1	24	0.866	vcm600/channel/1/level	Channel 1 Level	channel_controls
0.567	vcm600	cc	2	24	0.701	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.600	vcm600	cc	1	24	0.819	vcm600/channel/1/level	Channel 1 Level	channel_controls
0.600	vcm600	cc	2	24	0.677	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.633	vcm600	cc	1	24	0.772	vcm600/channel/1/level	Channel 1 Level	channel_controls
0.633	vcm600	cc	2	24	0.646	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.667	vcm600	cc	1	24	0.732	vcm600/channel/1/level	Channel 1 Level	channel_controls
0.683	vcm600	cc	2	24	0.622	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.717	vcm600	cc	1	24	0.685	vcm600/channel/1/level	Channel 1 Level	channel_controls
0.717	vcm600	cc	2	24	0.583	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.750	vcm600	cc	1	24	0.646	vcm600/channel/1/level	Channel 1 Level	channel_controls
0.750	vcm600	cc	2	24	0.551	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.783	vcm600	cc	1	24	0.606	vcm600/channel/1/level	Channel 1 Level	channel_controls
0.783	vcm600	cc	2	24	0.52	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.817	vcm600	cc	1	24	0.551	vcm600/channel/1/level	Channel 1 Level	channel_controls
0.817	vcm600	cc	2	24	0.488	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.850	vcm600	cc	1	24	0.52	vcm600/channel/1/level	Channel 1 Level	channel_controls
0.850	vcm600	cc	2	24	0.457	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.883	vcm600	cc	1	24	0.48	vcm600/channel/1/level	Channel 1 Level	channel_controls
0.900	vcm600	cc	2	24	0.425	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.917	vcm600	cc	1	24	0.441	vcm600/channel/1/level	Channel 1 Level	channel_controls
0.933	vcm600	cc	2	24	0.394	vcm600/channel/2/level	Channel 2 Level	channel_controls
0.967	vcm600	cc	1	24	0.409	vcm600/channel/1/level	Channel 1 Level	channel_controls
0.967	vcm600	cc	2	24	0.362	vcm600/channel/2/level	Channel 2 Level	channel_controls
1.000	vcm600	cc	1	24	0.37	vcm600/channel/1/level	Channel 1 Level	channel_controls
1.000	vcm600	cc	2	24	0.323	vcm600/channel/2/level	Channel 2 Level	channel_controls
1.033	vcm600	cc	1	24	0.339	vcm600/channel/1/level	Channel 1 Level	channel_controls
1.033	vcm600	cc	2	24	0.307	vcm600/channel/2/level	Channel 2 Level	channel_controls
1.067	vcm600	cc	1	24	0.307	vcm600/channel/1/level	Channel 1 Level	channel_controls
1.067	vcm600	cc	2	24	0.268	vcm600/channel/2/level	Channel 2 Level	channel_controls
1.100	vcm600	cc	1	24	0.276	vcm600/channel/1/level	Channel 1 Level	channel_controls
1.117	vcm600	cc	2	24	0.236	vcm600/channel/2/level	Channel 2 Level	channel_controls
1.150	vcm600	cc	1	24	0.244	vcm600/channel/1/level	Channel 1 Level	channel_controls
1.150	vcm600	cc	2	24	0.213	vcm600/channel/2/level	Channel 2 Level	channel_controls
1.183	vcm600	cc	1	24	0.205	vcm600/channel/1/level	Channel 1 Level	channel_controls
1.183	vcm600	cc	2	24	0.189	vcm600/channel/2/level	Channel 2 Level	channel_controls
1.217	vcm600	cc	1	24	0.181	vcm600/channel/1/level	Channel 1 Level	channel_controls
1.217	vcm600	cc	2	24	0.15	vcm600/channel/2/level	Channel 2 Level	channel_controls
1.250	vcm600	cc	1	24	0.142	vcm600/channel/1/level	Channel 1 Level	channel_controls
1.250	vcm600	cc	2	24	0.11	vcm600/channel/2/level	Channel 2 Level	channel_controls
1.283	vcm600	cc	1	24	0.102	vcm600/channel/1/level	Channel 1 Level	channel_controls
1.300	vcm600	cc	2	24	0.079	vcm600/channel/2/level	Channel 2 Level	channel_controls
1.317	vcm600	cc	1	24	0.063	vcm600/channel/1/level	Channel 1 Level	channel_controls
1.333	vcm600	cc	2	24	0.047	vcm600/channel/2/level	Channel 2 Level	channel_controls
1.367	vcm600	cc	1	24	0.024	vcm600/channel/1/level	Channel 1 Level	channel_controls
1.367	vcm600	cc	2	24	0.016	vcm600/channel/2/level	Channel 2 Level	channel_controls
1.400	vcm600	cc	1	24	0.0	vcm600/channel/1/level	Channel 1 Level	channel_controls
1.400	vcm600	cc	2	24	0.0	vcm600/channel/2/level	Channel 2 Level	channel_controls
1.433	vcm600	cc	1	24	0.0	vcm600/channel/1/level	Channel 1 Level	channel_controls
1.867	vcm600	cc	1	24	0.0	vcm600/channel/1/level	Channel 1 Level	channel_controls
1.900	vcm600	cc	1	24	0.008	vcm600/channel/1/level	Channel 1 Level	channel_controls
1.933	vcm600	cc	1	24	0.016	vcm600/channel/1/level	Channel 1 Level	channel_controls
2.367	vcm600	cc	1	24	0.024	vcm600/channel/1/level	Channel 1 Level	channel_controls
2.417	vcm600	cc	1	24	0.031	vcm600/channel/1/level	Channel 1 Level	channel_controls
2.450	vcm600	cc	1	24	0.063	vcm600/channel/1/level	Channel 1 Level	channel_controls
2.450	vcm600	cc	2	24	0.0	vcm600/channel/2/level	Channel 2 Level	channel_controls
2.483	vcm600	cc	1	24	0.079	vcm600/channel/1/level	Channel 1 Level	channel_controls
2.483	vcm600	cc	2	24	0.024	vcm600/channel/2/level	Channel 2 Level	channel_controls
2.517	vcm600	cc	1	24	0.102	vcm600/channel/1/level	Channel 1 Level	channel_controls
2.517	vcm600	cc	2	24	0.039	vcm600/channel/2/level	Channel 2 Level	channel_controls
2.550	vcm600	cc	1	24	0.11	vcm600/channel/1/level	Channel 1 Level	channel_controls
2.550	vcm600	cc	2	24	0.063	vcm600/channel/2/level	Channel 2 Level	channel_controls
2.583	vcm600	cc	1	24	0.134	vcm600/channel/1/level	Channel 1 Level	channel_controls
2.600	vcm600	cc	2	24	0.079	vcm600/channel/2/level	Channel 2 Level	channel_controls
2.633	vcm600	cc	2	24	0.087	vcm600/channel/2/level	Channel 2 Level	channel_controls
2.917	vcm600	cc	1	24	0.126	vcm600/channel/1/level	Channel 1 Level	channel_controls
2.950	vcm600	cc	1	24	0.11	vcm600/channel/1/level	Channel 1 Level	channel_controls
2.950	vcm600	cc	2	24	0.071	vcm600/channel/2/level	Channel 2 Level	channel_controls
2.983	vcm600	cc	1	24	0.079	vcm600/channel/1/level	Channel 1 Level	channel_controls
2.983	vcm600	cc	2	24	0.039	vcm600/channel/2/level	Channel 2 Level	channel_controls
3.017	vcm600	cc	1	24	0.039	vcm600/channel/1/level	Channel 1 Level	channel_controls
3.017	vcm600	cc	2	24	0.008	vcm600/channel/2/level	Channel 2 Level	channel_controls
3.050	vcm600	cc	1	24	0.008	vcm600/channel/1/level	Channel 1 Level	channel_controls
3.067	vcm600	cc	2	24	0.0	vcm600/channel/2/level	Channel 2 Level	channel_controls
3.083	vcm600	cc	1	24	0.0	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.500	vcm600	cc	1	24	0.031	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.500	vcm600	cc	1	24	0.087	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.500	vcm600	cc	1	24	0.134	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.500	vcm600	cc	1	24	0.189	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.500	vcm600	cc	1	24	0.236	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.500	vcm600	cc	1	24	0.299	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.500	vcm600	cc	1	24	0.346	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.500	vcm600	cc	1	24	0.386	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.500	vcm600	cc	1	24	0.402	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.500	vcm600	cc	1	24	0.386	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.500	vcm600	cc	1	24	0.331	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.500	vcm600	cc	1	24	0.236	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.500	vcm600	cc	1	24	0.142	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.500	vcm600	cc	1	24	0.063	vcm600/channel/1/level	Channel 1 Level	channel_controls
9.500	vcm600	cc	1	24	0.0	vcm600/channel/1/level	Channel 1 Level	channel_controls
