slot	group	sub	fx_grid_1	fx_grid_2	fx_grid_3	fx_grid_4	fx_grid_5	fx_grid_6	fx_grid_7	fx_grid_8
1.1	1	1	1	0	0.008	0.291	0.063	0.228	0.016	0.543
1.2	1	2	1	0	0.008	0.291	0.063	0.228	0.016	0.543
1.3	1	3	1	0	0.008	0.291	0.063	0.228	0.016	0.543
2.1	2	1	0.417	0.142	0.724	0.709	0.197	0.819	0.433	0.346
2.2	2	2	0.417	0.142	0.724	0.709	0.197	0.819	0.433	0.346
2.3	2	3	0.417	0.142	0.724	0.709	0.197	0.819	0.433	0.346
3.1	3	1	0.378	0.0	0.268	0.024	0.37	0.661	0.449	0.465
3.2	3	2	0.417	0.142	0.724	0.709	0.197	0.378	0.717	0.591
3.3	3	3	1	0	0	0	0.331	0.598	0	0
4.1	4	1	0.378	0.0	0.268	0.024	0.37	0.661	0.449	0.465
4.2	4	2	0.378	0.0	0.268	0.024	0.37	0.661	0.449	0.465
4.3	4	3	0.378	0.0	0.268	0.024	0.37	0.661	0.449	0.465
5.1	5	1	1	0	0	0	0.331	0.598	0	0
5.2	5	2	1	0	0	0	0.331	0.598	0	0
5.3	5	3	1	0	0	0	0.331	0.598	0	0
6.1	6	1	0.378	0.0	0.268	0.024	0.37	0.661	0.449	0.465
6.2	6	2	1	0	0	0	0.331	0.598	0	0
6.3	6	3	0.378	0.0	0.268	0.024	0.37	0.661	0.449	0.465
