ts	src	etype	ch	idx	val	topic	label
1773785612.42	vcm600	cc	1	23	1	vcm600/channel/1/level	Channel 1 Level
1773785612.455	vcm600	cc	1	23	2	vcm600/channel/1/level	Channel 1 Level
1773785612.888	vcm600	cc	1	23	3	vcm600/channel/1/level	Channel 1 Level
1773785612.939	vcm600	cc	1	23	4	vcm600/channel/1/level	Channel 1 Level
1773785612.971	vcm600	cc	1	23	8	vcm600/channel/1/level	Channel 1 Level
1773785612.972	vcm600	cc	2	23	0	vcm600/channel/2/level	Channel 2 Level
1773785613.002	vcm600	cc	1	23	10	vcm600/channel/1/level	Channel 1 Level
1773785613.003	vcm600	cc	2	23	3	vcm600/channel/2/level	Channel 2 Level
1773785613.038	vcm600	cc	1	23	13	vcm600/channel/1/level	Channel 1 Level
1773785613.039	vcm600	cc	2	23	5	vcm600/channel/2/level	Channel 2 Level
1773785613.07	vcm600	cc	1	23	14	vcm600/channel/1/level	Channel 1 Level
1773785613.07	vcm600	cc	2	23	8	vcm600/channel/2/level	Channel 2 Level
1773785613.103	vcm600	cc	1	23	17	vcm600/channel/1/level	Channel 1 Level
1773785613.12	vcm600	cc	2	23	10	vcm600/channel/2/level	Channel 2 Level
1773785613.154	vcm600	cc	2	23	11	vcm600/channel/2/level	Channel 2 Level
1773785613.441	vcm600	cc	1	23	16	vcm600/channel/1/level	Channel 1 Level
1773785613.472	vcm600	cc	1	23	14	vcm600/channel/1/level	Channel 1 Level
1773785613.473	vcm600	cc	2	23	9	vcm600/channel/2/level	Channel 2 Level
1773785613.503	vcm600	cc	1	23	10	vcm600/channel/1/level	Channel 1 Level
1773785613.504	vcm600	cc	2	23	5	vcm600/channel/2/level	Channel 2 Level
1773785613.54	vcm600	cc	1	23	5	vcm600/channel/1/level	Channel 1 Level
1773785613.54	vcm600	cc	2	23	1	vcm600/channel/2/level	Channel 2 Level
1773785613.571	vcm600	cc	1	23	1	vcm600/channel/1/level	Channel 1 Level
1773785613.587	vcm600	cc	2	23	0	vcm600/channel/2/level	Channel 2 Level
1773785613.605	vcm600	cc	1	23	0	vcm600/channel/1/level	Channel 1 Level
1773786075.079	vcm600	cc	1	23	4	vcm600/channel/1/level	Channel 1 Level
1773786075.079	vcm600	cc	1	23	11	vcm600/channel/1/level	Channel 1 Level
1773786075.08	vcm600	cc	1	23	17	vcm600/channel/1/level	Channel 1 Level
1773786075.08	vcm600	cc	1	23	24	vcm600/channel/1/level	Channel 1 Level
1773786075.081	vcm600	cc	1	23	30	vcm600/channel/1/level	Channel 1 Level
1773786075.082	vcm600	cc	1	23	38	vcm600/channel/1/level	Channel 1 Level
1773786075.082	vcm600	cc	1	23	44	vcm600/channel/1/level	Channel 1 Level
1773786075.083	vcm600	cc	1	23	49	vcm600/channel/1/level	Channel 1 Level
1773786075.083	vcm600	cc	1	23	51	vcm600/channel/1/level	Channel 1 Level
1773786075.084	vcm600	cc	1	23	49	vcm600/channel/1/level	Channel 1 Level
1773786075.084	vcm600	cc	1	23	42	vcm600/channel/1/level	Channel 1 Level
1773786075.085	vcm600	cc	1	23	30	vcm600/channel/1/level	Channel 1 Level
1773786075.085	vcm600	cc	1	23	18	vcm600/channel/1/level	Channel 1 Level
1773786075.086	vcm600	cc	1	23	8	vcm600/channel/1/level	Channel 1 Level
1773786075.086	vcm600	cc	1	23	0	vcm600/channel/1/level	Channel 1 Level
