device	etype	ch	idx	topic	mode	group	label	page	led_target	enabled	notes
vcm600	note	1	60	vcm600/channel/1/hi_cut		channel_buttons	Channel 1 Hi Cut	channel_switch	vcm600/channel/1/hi_cut	1	Live corrected hi_cut for channel 1: idx 61
vcm600	note	1	61	vcm600/channel/1/mid_cut		channel_buttons	Channel 1 Mid Cut	channel_switch	vcm600/channel/1/mid_cut	1	Live corrected mid_cut for channel 1: idx 62
vcm600	note	1	62	vcm600/channel/1/low_cut		channel_buttons	Channel 1 Low Cut	channel_switch	vcm600/channel/1/low_cut	1	Live corrected low_cut for channel 1: idx 63
vcm600	note	1	63	vcm600/channel/1/mute		channel_buttons	Channel 1 Mute	channel_switch	vcm600/channel/1/mute	1	Live corrected mute for channel 1: idx 64
vcm600	note	1	64	vcm600/channel/1/solo		channel_buttons	Channel 1 Solo	channel_switch	vcm600/channel/1/solo	1	Live corrected solo for channel 1: idx 65
vcm600	note	1	65	vcm600/channel/1/cf_asn		channel_buttons	Channel 1 CF Asn	channel_switch	vcm600/channel/1/cf_asn	1	Live corrected cf_asn for channel 1: idx 66
vcm600	note	1	66	vcm600/channel/1/clip		channel_buttons	Channel 1 Clip	channel_switch	vcm600/channel/1/clip	1	Live corrected clip for channel 1: idx 67
vcm600	note	1	67	vcm600/channel/1/track		channel_buttons	Channel 1 Track	channel_switch	vcm600/channel/1/track	1	Live corrected track for channel 1: idx 68
vcm600	note	1	68	vcm600/channel/1/stop		channel_buttons	Channel 1 Stop	channel_switch	vcm600/channel/1/stop	1	Manual corrected by live test: status 90 idx 45
vcm600	note	1	69	vcm600/channel/1/play		channel_buttons	Channel 1 Play	channel_switch	vcm600/channel/1/play	1	Manual corrected by live test: status 90 idx 46
vcm600	cc	1	16	vcm600/channel/1/eq_hi	abs	channel_controls	Channel 1 EQ Hi	channel_volume		1	Live corrected eq_hi for channel 1: idx 17
vcm600	cc	1	17	vcm600/channel/1/eq_mid	abs	channel_controls	Channel 1 EQ Mid	channel_volume		1	Live corrected eq_mid for channel 1: idx 18
vcm600	cc	1	18	vcm600/channel/1/eq_low	abs	channel_controls	Channel 1 EQ Low	channel_volume		1	Live corrected eq_low for channel 1: idx 19
vcm600	cc	1	10	vcm600/channel/1/pan	abs	channel_controls	Channel 1 Pan	channel_volume		1	Live corrected pan for channel 1: idx 11
vcm600	cc	1	19	vcm600/channel/1/send_a	abs	channel_controls	Channel 1 Send A	channel_volume		1	Live corrected send_a for channel 1: idx 20
vcm600	cc	1	20	vcm600/channel/1/send_b	abs	channel_controls	Channel 1 Send B	channel_volume		1	Live corrected send_b for channel 1: idx 21
vcm600	cc	1	21	vcm600/channel/1/resonance	abs	channel_controls	Channel 1 Resonance	channel_volume		1	Live corrected resonance for channel 1: idx 22
vcm600	cc	1	22	vcm600/channel/1/frequency	abs	channel_controls	Channel 1 Frequency	channel_volume		1	Live corrected frequency for channel 1: idx 23
vcm600	cc	1	23	vcm600/channel/1/level	abs	channel_controls	Channel 1 Level	channel_volume		1	Live corrected level index for channel 1: idx 24
vcm600	note	2	60	vcm600/channel/2/hi_cut		channel_buttons	Channel 2 Hi Cut	channel_switch	vcm600/channel/2/hi_cut	1	Live corrected hi_cut for channel 2: idx 61
vcm600	note	2	61	vcm600/channel/2/mid_cut		channel_buttons	Channel 2 Mid Cut	channel_switch	vcm600/channel/2/mid_cut	1	Live corrected mid_cut for channel 2: idx 62
vcm600	note	2	62	vcm600/channel/2/low_cut		channel_buttons	Channel 2 Low Cut	channel_switch	vcm600/channel/2/low_cut	1	Live corrected low_cut for channel 2: idx 63
vcm600	note	2	63	vcm600/channel/2/mute		channel_buttons	Channel 2 Mute	channel_switch	vcm600/channel/2/mute	1	Live corrected mute for channel 2: idx 64
vcm600	note	2	64	vcm600/channel/2/solo		channel_buttons	Channel 2 Solo	channel_switch	vcm600/channel/2/solo	1	Live corrected solo for channel 2: idx 65
vcm600	note	2	65	vcm600/channel/2/cf_asn		channel_buttons	Channel 2 CF Asn	channel_switch	vcm600/channel/2/cf_asn	1	Live corrected cf_asn for channel 2: idx 66
vcm600	note	2	66	vcm600/channel/2/clip		channel_buttons	Channel 2 Clip	channel_switch	vcm600/channel/2/clip	1	Live corrected clip for channel 2: idx 67
vcm600	note	2	67	vcm600/channel/2/track		channel_buttons	Channel 2 Track	channel_switch	vcm600/channel/2/track	1	Live corrected track for channel 2: idx 68
